name,latitude,longitude,description
Antipolis_Shipwreck,-33.9845858,18.3561968,Cape Town Sudafrica
Bos_400,-34.0369701,18.307531,Cape Town Sudafrica
San_Pasqual,22.6233759,-79.2240671,Cuba
Sapona_Wreck,25.65086317,-79.29371459,Bahamas
Monroe,25.1773582,-80.3473301,Monroe Florida
Harlem,22.9600452,-83.1825371,Harlem Cuba
Harlem_2,22.9584642,-83.1772871,Harlem Cuba
Harlem_3,2.9584642,-83.1772871,Harlem Cuba
Harlem_4,22.9602772,-83.1736451,Harlem Cuba
Harlem_5,22.9519242,-83.1697061,Harlem Cuba
Harlem_6,22.9455072,-83.1713061,Harlem Cuba
Honduras,16.3957183,-86.3550051,Honduras Honduras
Cayman,19.7134393,-79.9758851,Cayman Islands Cayman Islands
Limon_Bay,9.3623543,-79.9446381,Limon Bay Panama
Waverley_Wreck,-41.519036,174.0655629,Waverley New Zealand
Janie_Saddon_Wreck,-41.123637,173.0251829,Janie Saddon New Zealand
Dunedin_City,-45.8286031,170.6364529,Dunedin New Zealand
Greenpoint_Wreck,-45.8286031,170.6364529,Greenpoint New Zealand
Greenpoint_Wreck_2,-46.5702151,168.3165159,Greenpoint New Zealand
Moreton_Island_Wreck,-27.1640974,153.3679292,Moreton Island New Zealand
Moreton_Island_Wreck_2,-27.1636361,153.3669043,Moreton Island New Zealand
Moreton_Island_Wreck_3,-27.1638056,153.3675276,Moreton Island New Zealand
Cape_Barren_Islands,-40.286116,148.3292409,Cape Barren Islands Australia
Otago_Wreck,-42.8102306,147.2986188,Otago Tasmania
Santiago_Wreck,-34.8104129,138.5409529,Garden_Island Australia
Dorothy_Wreck,-34.8123049,138.5394109,Garden_Island Australia
Mildura_Wreck,-21.7839998,114.1670349,North West Cape Australia
Bangka_Wreck,-1.8592017,106.1285749,Bangka Indonesia
Samut_Wreck,13.5279472,100.2657105,Samut Prakan Thailand
Samut_Wreck_2,13.5289913,100.2659099,Samut Prakan Thailand
Samut_Wreck_3,13.52795,100.2659938,Samut Prakan Thailand
Samut_Wreck_4,13.528325,100.2659105,Samut Prakan Thailand
NY_Wreck_9,40.805931,-73.8460801,New York City New York USA
NY_Wreck_10,40.63845,-74.1539001,New York City New York USA
Arthur_Wreck,40.5372685,-74.2488892,New York City New York USA
Kamcatsk_Wreck,6.233369,162.573116,Kamcatsk Russia
Kamcatsk_Wreck_2,56.234204,162.5966156,Kamcatsk Russia
Cichakev,51.4678448,140.7753459,Cichakev Russia
Golfo_Persico,29.2250325,50.2977283,Golfo Persico Iran
